week,type,value,region,mape
2024-05-20,test_pred,259.75668629371,EU,0.0706141301235116
2024-05-27,test_pred,233.5092490167664,EU,0.0706141301235116
2024-06-03,test_pred,248.43212004770805,EU,0.0706141301235116
2024-06-10,test_pred,244.50116951551635,EU,0.0706141301235116
2024-06-17,test_pred,247.03238106910976,EU,0.0706141301235116
2024-06-24,test_pred,243.32608792521023,EU,0.0706141301235116
2024-07-01,future_forecast,259.75668629371,EU,0.0706141301235116
2024-07-08,future_forecast,233.5092490167664,EU,0.0706141301235116
2024-05-20,test_pred,270.87066665209215,US,0.04650423797465054
2024-05-27,test_pred,273.4434322684228,US,0.04650423797465054
2024-06-03,test_pred,281.3085254922658,US,0.04650423797465054
2024-06-10,test_pred,277.4726948376289,US,0.04650423797465054
2024-06-17,test_pred,280.88906310186735,US,0.04650423797465054
2024-06-24,test_pred,279.29592646578095,US,0.04650423797465054
2024-07-01,future_forecast,270.87066665209215,US,0.04650423797465054
2024-07-08,future_forecast,273.4434322684228,US,0.04650423797465054
